R,a,c,V_geo_exact,exact_time_sec,cube_ok,coord_err,V_geo_fit20,fit_abs_error,coeff_fit_time_sec
1.0,0.6414636875851679,1.6886561251483734,5.4161376098641245,2.0771076300000004,True,0.0,5.416137609864125,8.881784197001252e-16,
2.0,0.5176137809338409,0.5693976610953271,1.3119758887443054,2.129255005999994,True,0.0,1.3119758887443056,2.220446049250313e-16,
3.0,0.5073042470475659,0.5275741688481907,1.1219513065921871,2.1082341759999963,True,1.1102230246251565e-16,1.1219513065921871,0.0,
4.0,0.5040168910546167,0.5149648339933409,1.0657974513028596,2.082357611999896,True,0.0,1.0657974513028596,0.0,
5.0,0.5025447393453313,0.5094249425936049,1.0413268984130784,2.0548726859999533,True,0.0,1.0413268984130784,0.0,
6.0,0.5017575384310509,0.5064891107141528,1.0284116247729727,2.0881004190000567,True,0.0,1.0284116247729718,8.881784197001252e-16,
7.0,0.5012870284500306,0.5047430834444276,1.02074835700898,2.108918288999803,True,1.1102230246251565e-16,1.020748357008985,5.10702591327572e-15,
8.0,0.5009832962808091,0.5036193989298307,1.0158236836124657,2.089002285999868,True,0.0,1.0158236836124535,1.2212453270876722e-14,
9.0,0.5007758011379089,0.5028532986826613,1.0124694049310685,2.0743036419999044,True,0.0,1.012469404931082,1.354472090042691e-14,
10.0,0.5006277495413717,0.5023074375432058,1.010081031106982,2.0396201309999924,True,0.0,1.0100810311069766,5.551115123125783e-15,0.0003761949999443459
